5651	5432
6801	5161
9059	4144
2423	3505
4956	2436
8839	42
69	3477
6836	4874
1295	4459
6828	885
8267	4620
5553	4172
1204	5545
8751	4753
4011	7002
10455	504
7890	4300
9566	4808
285	3894
8729	4295
5383	5364
10636	2365
3751	2120
3170	5567
5238	3207
7297	419
3419	5235
3788	6261
6971	3811
3226	587
5939	4581
8493	2969
4311	4283
7290	3830
9798	3511
852	5707
8341	5031
10424	3311
483	3848
8137	1010
8138	6410
5604	6273
7331	2152
3308	3471
4682	4711
3927	378
8111	2648
8221	2027
4607	5664
9643	6211
6891	159
6375	4140
9673	4154
4451	5320
6950	6207
9465	3804
4568	3645
7613	3267
3887	3533
8942	5259
6763	3929
4910	3474
1369	6129
6960	6564
5847	4047
2713	4100
3619	3031
3677	181
1236	6442
221	430
7838	3356
7128	2649
803	2924
5012	2758
3494	6075
9428	2368
6099	4705
92	6192
8287	2689
7337	5996
3055	3581
9070	555
3850	899
4970	2477
10491	7161
8960	6544
4442	187
9197	3584
5443	6400
6001	1371
6049	1750
10265	113
5422	2973
460	6426
5875	4846
464	743
1611	3286
1949	2893
1071	2240
857	3157
1267	6147
3108	5922
4244	6224
7539	1099
2316	6180
7176	4979
9285	4217
4135	6191
6559	5889
3974	3479
166	6494
8455	1171
9436	4395
7904	5325
5480	3959
1258	6005
9170	4853
4614	3846
357	6312
7338	6618
2613	5713
9046	6077
4021	2337
3645	4688
8172	1602
2373	7090
9826	3451
5306	5034
3353	3693
8211	3738
7960	3668
5065	5715
10139	167
10943	3117
10113	3398
3987	3321
619	2713
8835	2926
1297	5192
9720	2161
7353	4119
1410	4449
1023	121
1709	299
7702	2590
10467	747
4672	1944
10675	1986
8614	4214
4554	6263
1636	1197
6398	5071
9125	6321
10051	5777
2863	6078
7510	5096
5191	5346
7628	5648
3351	350
8909	534
3922	1495
5235	1250
3510	6919
7679	731
3481	7021
6842	3539
3358	2448
1490	5365
10574	3320
2131	417
9940	5752
1712	5594
1279	274
1802	2207
2256	3568
776	5542
4425	6642
10654	108
7281	6913
10319	1595
7283	6709
9102	1736
9911	1643
7288	3197
6702	3420
8828	3707
3708	1118
3666	5359
7078	2171
134	3595
7592	3417
9026	325
6337	4192
7895	1519
1984	2082
10356	968
3648	3827
6616	1469
3868	5914
1734	6441
957	5400
1239	1918
5073	2688
3500	3640
4779	484
7920	3761
4763	3195
7296	3858
4659	2764
10507	491
2126	468
4580	2426
3207	1738
7549	4404
5876	1549
5198	1941
9505	2094
7180	1395
9497	3576
6065	6805
8392	4655
1669	4296
1477	2447
917	5644
847	36
6453	6858
1276	3717
5574	1482
7410	5267
